Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.24     0.00      166     0.00     0.00  sub_1005b7d0()
  0.00      5.24     0.00      165     0.00     0.01  sub_1001df10()
  0.00      5.24     0.00      146     0.00     0.00  void std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool> > >::_M_realloc_insert<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool> >(__gnu_cxx::__normal_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool>*, std::vector<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool> > > >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool>&&)
  0.00      5.24     0.00      140     0.00     0.00  sub_100cd51c()
  0.00      5.24     0.00      137     0.00     0.00  sub_100599b0()
  0.00      5.24     0.00      135     0.00     0.01  sub_1001e210()
  0.00      5.24     0.00      135     0.00     0.00  sub_1001e240()
  0.00      5.24     0.00      132     0.00     0.01  sub_1001e0f0()
  0.00      5.24     0.00      132     0.00     0.00  sub_1001e120()
  0.00      5.24     0.00      130     0.00     0.04  sub_100c8c60()
  0.00      5.24     0.00      130     0.00     0.00  sub_100ce243()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001d910()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001d940()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001d970()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001d9a0()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001d9d0()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001da00()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001da90()
  0.00      5.24     0.00      128     0.00     0.01  sub_1001dac0()
  0.00      5.24     0.00      125     0.00     0.00  sub_10077ca0()
  0.00      5.24     0.00      120     0.00     0.01  sub_100578f0()
  0.00      5.24     0.00      120     0.00     0.00  sub_1005c2e0()
  0.00      5.24     0.00      120     0.00     0.00  sub_1006df10()
  0.00      5.24     0.00      113     0.00     0.00  sub_1000c440()
  0.00      5.24     0.00      108     0.00     0.66  sub_10007ce0()
  0.00      5.24     0.00       99     0.00     0.00  sub_10055360()
  0.00      5.24     0.00       95     0.00     0.00  kernel32::ReadFile()
  0.00      5.24     0.00       94     0.00     0.00  sub_1005a960()
  0.00      5.24     0.00       88     0.00     0.00  sub_10058ab0()
  0.00      5.24     0.00       86     0.00     0.00  sub_1001b220()
  0.00      5.24     0.00       84     0.00     0.00  sub_10007620()
  0.00      5.24     0.00       84     0.00     0.00  sub_1001b850()
  0.00      5.24     0.00       84     0.00     0.00  sub_10057810()
  0.00      5.24     0.00       84     0.00     0.00  sub_100579d0()
  0.00      5.24     0.00       84     0.00     0.00  sub_10057a00()
  0.00      5.24     0.00       84     0.00     0.00  sub_10057a30()
  0.00      5.24     0.00       84     0.00     0.00  sub_10057aa0()
  0.00      5.24     0.00       84     0.00     0.00  sub_10057c70()
  0.00      5.24     0.00       84     0.00     0.01  sub_10057cc0()
  0.00      5.24     0.00       82     0.00     0.00  sub_10057150()
  0.00      5.24     0.00       82     0.00     0.00  sub_10064b80()
  0.00      5.24     0.00       82     0.00     0.00  sub_100685c0()
  0.00      5.24     0.00       81     0.00     0.01  sub_10050a50()
